Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
TransFun,BP,5,0.23817816005535267,0.009498967616729508,0.004248067461415269,0.2627748101360348,0.004202874895616482,0.001879582793505157,0.704934631501138,0.013965123778441963,0.006245393216558988,0.1388726062003661,0.010416754082762898,0.004658514046791262,69.34983739700564,2.641720179599262,1.1814131798233805
DeepFRI_Seq,BP,5,0.15832773867157182,0.005565908549304699,0.002489149974558509,0.24214299847523063,0.0074962983007095235,0.0033524465160005307,0.6766715963730484,0.00405251903904901,0.001812341610285142,0.11807869631754883,0.007489973250287522,0.003349617867459589,70.60398800744765,2.432720250625677,1.0879455701278677
DeepFRI_Cmap,BP,5,0.34664728790309657,0.01605033234066161,0.007177926835036534,0.3567609415868266,0.010542533668382145,0.0047147643875165395,0.7269549552551726,0.005670803033887359,0.0025360602141568356,0.29382638278044565,0.014672484371359162,0.00656173449063247,56.833148238004654,3.201163481657358,1.4316038304151508
DPFunc,BP,5,0.10350138864652395,0.002918082852842496,0.0013050063245864673,0.07898406859675167,0.0026778865620286146,0.0011975872777458378,0.6748563718377041,0.0029458091492731,0.0013174059013030953,0.048090743851735875,0.0014120752750757422,0.0006314992608832148,72.5603734086138,2.5621212042966217,1.1458154358801744
BLAST,BP,5,0.6714233281069244,0.012118470267718251,0.005419544660385617,0.6052770091566371,0.017250560388129846,0.007714685135564698,0.7812081386006021,0.008803351975955949,0.003936978689618919,0.7009834136977685,0.008641946233945912,0.0038647958474002718,35.92701364085858,1.8462503896348272,0.8256682749417893
DIAMOND,BP,5,0.6766172643559818,0.009307561396495035,0.004162467997463154,0.6230587321895902,0.009692257216158922,0.004334509198148844,0.7747585715870537,0.005392823807188021,0.0024117441247103267,0.7183522519660451,0.00792821349116775,0.0035456048612764034,35.8443309327529,1.8772143171466362,0.8395157642951455
Naive,BP,5,0.1490420567015314,0.0022875536882500914,0.001023025109821513,0.04136807118501267,0.00074959407323792,0.000335228660658189,0.7860732101081084,0.00399130149367212,0.0017849642917094613,0.08661419096260412,0.0017246429274566163,0.0007712837645414464,72.14264044239329,1.4952904964216123,0.6687142392216262
Hybrid,BP,5,0.6702321064772827,0.004697120429153366,0.0021006161156179822,0.6619322430467289,0.00686339432965448,0.0030694032554988036,0.8400944221621426,0.009537513155321928,0.004265305550319668,0.6305425211660614,0.005278632661223733,0.0023606762917493767,35.71252768666367,0.4960201052037213,0.2218269346884236
Hybrid_JK,BP,5,0.6708721629240889,0.006520508247174551,0.0029160599377060594,0.6630131578300673,0.010029507725948033,0.004485332211215826,0.8793597849221044,0.008642450529036415,0.0038650213750208886,0.637803715727264,0.00895240879883523,0.004003638927312563,35.54851308394437,0.6012389250462462,0.26888222142446144
TransFun,MF,5,0.4079973175152318,0.00629051358877181,0.002813203199575985,0.42686780757832105,0.011494505139795412,0.005140498972060653,0.728812682656468,0.008866937564760728,0.003965415029410286,0.35190193644432577,0.008113753641349473,0.003628580938948774,27.13183231222958,0.45551150188384715,0.20371093654906114
